[2025-05-05T13:00:04.544Z] Endpoint: /api/v1/book [GET] | User ID: undefined
[2025-05-05T13:00:04.635Z] Endpoint: /api/v1/book [GET] | User ID: undefined
[2025-05-05T13:00:13.327Z] Endpoint: /api/v1/book/28 [DELETE] | User ID: unknown
[2025-05-05T13:00:15.616Z] Endpoint: /api/v1/book/27 [DELETE] | User ID: unknown
[2025-05-05T13:00:23.271Z] Endpoint: /api/v1/checkout/all/3 [GET] | User ID: 3
[2025-05-05T13:00:23.298Z] Endpoint: /api/v1/checkout/all/3 [GET] | User ID: 3
[2025-05-05T13:00:28.513Z] Endpoint: /api/v1/checkout/all/3 [GET] | User ID: 3
[2025-05-05T13:00:28.527Z] Endpoint: /api/v1/checkout/all/3 [GET] | User ID: 3
[2025-05-05T13:00:37.447Z] Endpoint: /api/v1/book [GET] | User ID: undefined
[2025-05-05T13:00:37.461Z] Endpoint: /api/v1/book [GET] | User ID: undefined
[2025-05-05T13:00:40.540Z] Endpoint: /api/v1/book [POST] | User ID: unknown
[2025-05-05T13:00:41.302Z] Endpoint: /api/v1/book [GET] | User ID: undefined
[2025-05-05T13:00:41.324Z] Endpoint: /api/v1/book [GET] | User ID: undefined
[2025-05-05T13:00:44.156Z] Endpoint: /api/v1/book [POST] | User ID: unknown
[2025-05-05T13:00:44.736Z] Endpoint: /api/v1/book [GET] | User ID: undefined
[2025-05-05T13:00:44.751Z] Endpoint: /api/v1/book [GET] | User ID: undefined
[2025-05-05T13:00:47.172Z] Endpoint: /api/v1/checkout/all/3 [GET] | User ID: 3
[2025-05-05T13:00:47.188Z] Endpoint: /api/v1/checkout/all/3 [GET] | User ID: 3
[2025-05-05T13:00:48.249Z] Endpoint: /api/v1/checkout/all/3 [GET] | User ID: 3
[2025-05-05T13:00:48.262Z] Endpoint: /api/v1/checkout/all/3 [GET] | User ID: 3
[2025-05-05T13:00:50.839Z] Endpoint: /api/v1/book [GET] | User ID: undefined
[2025-05-05T13:00:50.860Z] Endpoint: /api/v1/book [GET] | User ID: undefined
[2025-05-05T13:00:53.509Z] Endpoint: /api/v1/checkout/29 [POST] | User ID: 3
[2025-05-05T13:00:55.544Z] Endpoint: /api/v1/checkout/all/3 [GET] | User ID: 3
[2025-05-05T13:00:55.557Z] Endpoint: /api/v1/checkout/all/3 [GET] | User ID: 3
[2025-05-05T13:00:57.058Z] Endpoint: /api/v1/checkout/all/3 [GET] | User ID: 3
[2025-05-05T13:00:57.072Z] Endpoint: /api/v1/checkout/all/3 [GET] | User ID: 3
[2025-05-05T13:01:09.059Z] Endpoint: /api/v1/book [GET] | User ID: undefined
[2025-05-05T13:01:09.124Z] Endpoint: /api/v1/book [GET] | User ID: undefined
[2025-05-05T13:01:13.020Z] Endpoint: /api/v1/book/29 [PUT] | User ID: unknown
[2025-05-05T13:01:13.990Z] Endpoint: /api/v1/book [GET] | User ID: undefined
[2025-05-05T13:01:14.004Z] Endpoint: /api/v1/book [GET] | User ID: undefined
[2025-05-05T13:01:15.487Z] Endpoint: /api/v1/checkout/all/3 [GET] | User ID: 3
[2025-05-05T13:01:15.505Z] Endpoint: /api/v1/checkout/all/3 [GET] | User ID: 3
[2025-05-05T13:01:16.863Z] Endpoint: /api/v1/checkout/all/3 [GET] | User ID: 3
[2025-05-05T13:01:16.879Z] Endpoint: /api/v1/checkout/all/3 [GET] | User ID: 3
